name	category	price	rating	url	description
Наклейки для подарков «Почтовые марки», 42 штуки в коробке. 3 х 4 см	Принадлежности для творчества	65	0	https://www.sima-land.ru/10710118/nakleyki-dlya-podarkov-pochtovye-marki-42-shtuki-v-korobke-3-h-4-cm/	
Паутинка клеевая, 15 мм, 15 ± 1 м, цвет чёрный	Отделочные материалы	64	5	https://www.sima-land.ru/5070543/pautinka-kleevaya-15-mm-15-1-m-cvet-chernyy/	Паутинка подходит для мелкого ремонта одежды и подгиба низа изделий. Чтобы приклеить её, необходимо расположить изделие между двух тканей и проутюжить с изнаночной стороны. Главное, чтобы горячая поверхность не соприкасалась с паутинкой напрямую, иначе она оставит на одежде след.
Двусторонняя клейкая лента 10 м «Арт Узор. Простота» бумага, ширина 1.2 см	Принадлежности для творчества	64	4.6	https://www.sima-land.ru/4460369/dvustoronnyaya-kleykaya-lenta-10-m-art-uzor-prostota-bumaga-shirina-1-2-cm/	
Перья декоративные страусиные, 10-12 см (набор 24 шт) 6 цветов, яркие, ассорти	Принадлежности для творчества	119	4.8	https://www.sima-land.ru/5132648/perya-dekorativnye-strausinye-10-12-cm-nabor-24-sht-6-cvetov-yarkie-assorti/	
Переводные татуировки детские «Подводный мир и динозавры», светятся в темноте, тату — 2 листа	Принадлежности для творчества	120	4.9	https://www.sima-land.ru/7104946/perevodnye-tatuirovki-detskie-podvodnyy-mir-i-dinozavry-svetyatsya-v-temnote-tatu-2-lista/	Используйте светящиеся тату, чтобы создать яркий и необычный образ на праздник или вечеринку! Такие картинки почти невидимы при дневном свете, но в темноте смотрятся очень эффектно и вызывают восторг! Инструкция
Книга «Письма в будущее. Мечты в конверте», 8+, 66 стр.	Детские книги	328	5	https://www.sima-land.ru/10708233/kniga-pisma-v-buduschee-mechty-v-konverte-8-plus-66-str/	Книга «Письма в будущее» станет отличным подарком для девочки, которая любит мечтать и создавать что-то своими руками. Этот уникальный формат помогает задуматься о своих целях, желаниях и даже построить мостик между настоящим и будущим. Что делает книгу особенной? Как использовать книгу «Письма в будущее» — это не просто книга, а способ заглянуть в себя и найти ответы на важные вопросы. Она помогает развивать уверенность, осмысленность и умение ставить цели. Для девочки это станет захватывающим путешествием в мир мечтаний и творчества. Книга подойдёт для праздников, дней рождения или как неожиданный приятный сюрприз. Это универсальный способ порадовать и удивить. Она понравится как девочкам, так и их родителям, которые ищут полезные и увлекательные развлечения.
Стразы термоклеевые «Жемчуг», d=10 мм, 50 шт.	Принадлежности для творчества	17	4.9	https://www.sima-land.ru/3605008/strazy-termokleevye-zhemchug-d-10-mm-50-sht/	Инструкция по работе: Вот и всё. Наслаждайтесь результатом! Рекомендации
Набор перьев для декора, набор 10 шт., размер 1 шт: 10×2 см, цвета МИКС	Принадлежности для творчества	19	4.9	https://www.sima-land.ru/6931443/nabor-perev-dlya-dekora-nabor-10-sht-razmer-1-sht-10-2-cm-cveta-miks/	Натуральные перья птиц всегда ценились у мастеров. В давние времена ими украшали головные уборы и платья, делали из них веера и применяли в качестве предмета для письма. Сейчас перо всё так же пользуется популярностью у дизайнеров и применяется в декорировании интерьеров, создании аксессуаров и бижутерии.
Альбом для рисования А4, 40 листов 100 г/м², на пружине, «Гравити Фолз»	Бумага и бумажная продукция	78	4.9	https://www.sima-land.ru/7580763/albom-dlya-risovaniya-a4-40-listov-100-g-m-na-pruzhine-graviti-folz/	
Кашпо деревянное 24.5×13.5×9 см "Двушка Лайт", двухреечное, натуральный Дарим Красиво	Упаковка для цветов	194	4.6	https://www.sima-land.ru/2219797/kashpo-derevyannoe-24-5-13-5-9-cm-dvushka-layt-dvuhreechnoe-naturalnyy-darim-krasivo-4/	
Кисть для рисования, Щетина плоская №24 (ширина обоймы 24 мм; длина волоса 35 мм), деревянная ручка, Calligrata	Принадлежности для рисования	87	4.9	https://www.sima-land.ru/4542668/kist-dlya-risovaniya-schetina-ploskaya-24-shirina-oboymy-24-mm-dlina-volosa-35-mm-derevyannaya-ruchka-calligrata/	Кисть изготавливают из волоса свиньи. Особенности:
Бумага упаковочная тишью, хвойный, 50×66 см	Подарочная упаковка	10.4	4.8	https://www.sima-land.ru/9618328/bumaga-upakovochnaya-tishyu-hvoynyy-50-66-cm/	Бумага тишью - это тонкая, нежная и привлекательная декоративная бумага различных оттенков. Состав: Изготавливается из белёной сульфатной целлюлозы. Получают из древесины хвойных деревьев. Применение: Отлично подходит для оборачивания подарков, вкладывания в подарочные пакеты и коробки для создания объёма. Идеальна для создания упаковки для цветов и украшения фото фонов. Особенности: Можно легко создавать помпоны, кисточки, гирлянды. Подходит для украшения тематических зон на мероприятиях и создания огромных цветов или цифр.
Кружево вязаное, 70 мм × 15 ± 1 м, цвет бежевый	Отделочные материалы	580	5	https://www.sima-land.ru/1354180/kruzhevo-vyazanoe-70-mm-15-1-m-cvet-bezhevyy/	Вязаное кружево легко спутать с hand-made – рисунок у него сложный и выразительный.  Узоры, созданные из переплетения множества нитей, принимают нужную форму и красиво смотрятся на любом изделии. Вязаное кружево — отличный вариант для декора одежды и домашнего текстиля. А также если хотите дополнить аксессуар деталью, будто связанной крючком, такой вариант отлично подойдёт.
Замок-карабин СМ-951 (набор 5 шт.), 15×6мм, с удлинительной цепочкой 7,5см, цвет серебро	Фурнитура для бижутерии	99	4.9	https://www.sima-land.ru/1515111/zamok-karabin-cm-951-nabor-5-sht-15-6mm-s-udlinitelnoy-cepochkoy-7-5sm-cvet-serebro/	Карабин с удлинителем — это удобный и прочный замок-застежка на пружинке, который при нажатии отодвигает часть замка, а при отпускании автоматически замыкает его. Такой механизм обеспечивает простоту и надежность в использовании, делая его незаменимым элементом для изготовления украшений. Удлинительная цепочка позволяет регулировать длину изделия, добавляя универсальности к браслетам, цепочкам и другим аксессуарам. Этот вид застежки популярен среди мастеров благодаря своей функциональности и долговечности.
Иглы для бытовых швейных машин, для джинсовых тканей, №70-100, 3 шт	Принадлежности для шитья	44	5	https://www.sima-land.ru/9139639/igly-dlya-bytovyh-shveynyh-mashin-dlya-dzhinsovyh-tkaney-70-100-3-sht/	Пользу этого набора наверняка оценят рукодельницы, увлекающиеся шитьём. Иглы для джинсовых тканей окажутся незаменимы для модниц, предпочитающих практичные и плотные материалы. Подшивайте новые джинсы, создавайте из джинсовой ткани одежду по своим меркам и дизайну и выглядите ослепительно. Предназначенные для толстых тканей иглы аккуратно прошьют толстый материал, оставив за собой ровную строчку. Иглы для джинсы и брезента окажутся незаменимы для модниц, предпочитающих практичные и плотные материалы. В наборе иглы:
Фартук для труда + нарукавники, 490 х 390/250 х 160 мм, размер S (рост 116-146), Calligrata, "Стандарт", синий	Школьный текстиль	193	4.9	https://www.sima-land.ru/1092913/fartuk-dlya-truda-plus-narukavniki-490-h-390-250-h-160-mm-razmer-s-rost-116-146-calligrata-standart-siniy/	Фартук поможет защитить одежду от грязи при занятиях творчеством. В комплекте с фартуком также поставляются нарукавники.
Набор кистей - спонжей, 4 штуки	Товары для художников	64	4.9	https://www.sima-land.ru/1399217/nabor-kistey-sponzhey-4-shtuki/	Поролоновые кисти-спонжи подойдут для нанесения краски на большие поверхности рисунка и создания интересных текстур. У кисти есть ручка, поэтому работать вы сможете аккуратно, не пачкая руки. Диаметры спонжей:
Застёжка пришивная для сумки, на кнопке, 15,5 × 2,5 см / 4,5 × 2,5 см, цвет чёрный/серебряный	Фурнитура для сумок	66	4.9	https://www.sima-land.ru/5077520/zastezhka-prishivnaya-dlya-sumki-na-knopke-15-5-2-5-cm-4-5-2-5-cm-cvet-chernyy-serebryanyy/	
Тесьма с перьями страуса, 8-10 см, 5±0.5 м, чёрная	Отделочные материалы	1199	4.9	https://www.sima-land.ru/9429311/tesma-s-peryami-strausa-8-10-cm-5-0-5-m-chernaya/	Позвольте вашей фантазии взлететь с этим уникальным материалом для декора. Благодаря натуральному сочетанию перьев страуса и тесьмы, изделие становится настоящим украшением любых проектов. Каждый метр наполнен изысканностью и шиком, превращая обычные вещи в произведения искусства. Этот материал обладает идеальной длиной — 5 метров, что позволяет создавать как компактные акценты, так и масштабные композиции. Ширина в 80 миллиметров гарантирует, что детали будут заметны и выразительны. Добавьте в свои проекты особую изюминку, которая заставит их запомниться. Этот материал станет вашим надёжным спутником в мире творчества, помогая воплощать самые смелые идеи и создавать по-настоящему неповторимые вещи.
Коробка складная, крафт, 17×7×4 см, 0.5 л	Универсальная упаковка	10.5	4.2	https://www.sima-land.ru/9643052/korobka-skladnaya-kraft-17-7-4-cm-0-5-l-2/	Идеальное решение для упаковки и транспортировки вашей вкуснейшей выпечки и сладостей. Мы позаботились о том, чтобы каждая деталь этой коробки соответствовала самым высоким стандартам качества и удобства.
Наклейка для цветов и подарков «Народный стиль», 16×9.5 см	Флористика	5.5	5	https://www.sima-land.ru/10326845/nakleyka-dlya-cvetov-i-podarkov-narodnyy-stil-16-9-5-cm/	Наклейки для цветов и подарков позволяют красиво и быстро оформить упаковку изделий ручной работы и подарков. Они выручают, когда нужно заклеить прозрачный или бумажный пакетик, закрыть конверт, зафиксировать крышку коробки, или просто декорировать упаковку. Стикер будет не только украшением, но и маленьким приятным сюрпризом на упаковке для ваших покупателей. Температурных ограничений нет.
