name	category	price	rating	url	description
Краска по ткани, набор 9 цветов х 15 мл, Луч, флуоресцентная, акриловая на водной основе	Товары для художников	542	5	https://www.sima-land.ru/5077648/kraska-po-tkani-nabor-9-cvetov-h-15-ml-luch-fluorescentnaya-akrilovaya-na-vodnoy-osnove/	
Набор шариков для аквамозаики «Единорог», 1300 шариков	Развивающие и обучающие игрушки	250	5	https://www.sima-land.ru/5539792/nabor-sharikov-dlya-akvamozaiki-edinorog-1300-sharikov/	
Бокс для хранения мелочей, 9.5×3.5×1.8 см, прозрачный	Косметички и органайзеры	40.7	5	https://www.sima-land.ru/6915385/boks-dlya-hraneniya-melochey-9-5-3-5-1-8-cm-prozrachnyy/	
Кисть для рисования синтетика круглая № 3 (диаметр обоймы 3 мм; длина ворса 12 мм)	Товары для художников	42.6	4.9	https://www.sima-land.ru/7431683/kist-dlya-risovaniya-sintetika-kruglaya-3-diametr-oboymy-3-mm-dlina-vorsa-12-mm/	
Гуашь 12 цветов по 17,5 мл Гамма "Юный художник", картонная упаковка 221008	Принадлежности для рисования	299	5	https://www.sima-land.ru/9490945/guash-12-cvetov-po-17-5-ml-gamma-yunyy-hudozhnik-kartonnaya-upakovka-221008/	Гуашь для рисования в баночках для школы , для дома , для творчества детей . краски для рисования входят в набор канцелярия для школы, входит в категорию канцелярские товары , канцелярия для школы. краска безвредна, быстро высыхает, краски для рисования легко смывается с рук и одежды. Краски для рисования изготовлены на основе натуральных компонентов и высококачественных пигментов. 
Бумага для акварели А4, 40 листов ,200 г/м2, для творчества в т/у плёнке «Ван Гог»	Бумага и бумажная продукция	295	5	https://www.sima-land.ru/10582302/bumaga-dlya-akvareli-a4-40-listov-200-g-m2-dlya-tvorchestva-v-t-u-plenke-van-gog/	
Фоамиран, оранжевый, 1 мм, 60×70 см	Принадлежности для творчества	39	3	https://www.sima-land.ru/10687402/foamiran-oranzhevyy-1-mm-60-70-cm-2/	Цветной фоамиран — это мягкий и пластичный материал, который широко используется в рукоделии, флористике и декоре. Он может быть разных цветов и оттенков, что позволяет создавать яркие и оригинальные изделия. Фоамиран легко режется, принимает нужную форму и не крошится. Благодаря этим свойствам из него можно делать различные элементы декора: цветы, фигурки, гирлянды и многое другое. Материал также хорошо склеивается, что упрощает процесс работы с ним.
Набор инструментов для шитья, 3 предмета, МИКС	Принадлежности для шитья	41.6	4.6	https://www.sima-land.ru/1276035/nabor-instrumentov-dlya-shitya-3-predmeta-miks/	
Набор кистей синтетика 3 штуки (№1,2,3) круглые с резервуаром для воды,туши, чернил	Принадлежности для рисования	111	5	https://www.sima-land.ru/2887409/nabor-kistey-sintetika-3-shtuki-1-2-3-kruglye-s-rezervuarom-dlya-vody-tushi-chernil/	Кисточками для каллиграфии пользуются не только мастера красивого почерка и художники, но и любители изобразительного искусства. Помните: хранить изделие после использования лучше в вертикальном положении-для этого на кончике есть специальная петля.
Уголок декоративный "Королевский" 3,5х3,5 см С-410	Принадлежности для творчества	19.4	4.9	https://www.sima-land.ru/3094207/ugolok-dekorativnyy-korolevskiy-3-5h3-5-cm-s-410/	
